fecha,ipi_yoy,pmi,ipc_sub_mom
2005-01-01,0.9,,-0.8
2005-02-01,-1.0,,0.3
2005-03-01,-6.6,,0.8
2005-04-01,7.3,,1.4
2005-05-01,0.3,,0.2
2005-06-01,-0.1,,0.2
2005-07-01,-3.4,,-0.6
2005-08-01,4.1,,0.4
2005-09-01,0.3,,0.6
2005-10-01,0.0,,0.8
2005-11-01,1.0,,0.2
2005-12-01,1.5,,0.2
2006-01-01,7.2,,-0.4
2006-02-01,4.1,,0.0
2006-03-01,12.4,,0.7
2006-04-01,-9.4,,1.4
2006-05-01,6.7,,0.4
2006-06-01,4.8,,0.2
2006-07-01,3.7,,-0.6
2006-08-01,3.0,,0.2
2006-09-01,0.6,,-0.2
2006-10-01,6.6,,0.4
2006-11-01,3.6,,0.2
2006-12-01,0.8,,0.3
2007-01-01,6.6,,-0.7
2007-02-01,3.0,,0.1
2007-03-01,1.0,,0.8
2007-04-01,5.1,,1.4
2007-05-01,3.3,,0.3
2007-06-01,0.1,,0.2
2007-07-01,4.5,,-0.7
2007-08-01,2.4,,0.1
2007-09-01,-1.3,,0.3
2007-10-01,5.3,,1.3
2007-11-01,-0.8,,0.7
2007-12-01,0.2,,0.4
2008-01-01,-0.8,,-0.6
2008-02-01,3.8,,0.2
2008-03-01,-15.3,,0.9
2008-04-01,12.0,,1.1
2008-05-01,-8.4,,0.7
2008-06-01,-10.9,,0.6
2008-07-01,-1.9,,-0.5
2008-08-01,-11.5,,-0.2
2008-09-01,-4.7,,0.0
2008-10-01,-12.2,,0.3
2008-11-01,-18.3,,-0.4
2008-12-01,-16.0,,-0.5
2009-01-01,-24.5,,-1.2
2009-02-01,-24.3,,0.0
2009-03-01,-13.5,,0.2
2009-04-01,-28.4,,1.0
2009-05-01,-22.3,,0.0
2009-06-01,-14.3,,0.4
2009-07-01,-16.9,,-0.9
2009-08-01,-10.6,,0.3
2009-09-01,-12.7,,-0.2
2009-10-01,-12.8,,0.7
2009-11-01,-4.0,,0.5
2009-12-01,-1.5,,0.0
2010-01-01,-5.0,,-1.0
2010-02-01,-1.9,,-0.2
2010-03-01,6.8,,0.7
2010-04-01,3.0,,1.1
2010-05-01,5.1,,0.2
2010-06-01,3.2,,0.2
2010-07-01,-2.3,,-0.4
2010-08-01,3.4,,0.3
2010-09-01,-1.1,,0.1
2010-10-01,-3.5,,0.9
2010-11-01,3.4,,0.5
2010-12-01,0.4,,0.6
2011-01-01,4.0,,-0.7
2011-02-01,2.4,,0.1
2011-03-01,0.3,,0.7
2011-04-01,-4.9,,1.2
2011-05-01,-0.2,,0.0
2011-06-01,-2.4,,-0.1
2011-07-01,-4.0,,-0.5
2011-08-01,3.2,,0.1
2011-09-01,-1.1,,0.2
2011-10-01,-4.8,,0.8
2011-11-01,-7.9,,0.4
2011-12-01,-6.3,,0.1
2012-01-01,-2.7,,-1.1
2012-02-01,-3.4,,0.1
2012-03-01,-10.3,,0.7
2012-04-01,-7.8,,1.4
2012-05-01,-4.8,,-0.1
2012-06-01,-7.4,,-0.2
2012-07-01,-4.4,,-0.2
2012-08-01,-3.5,,0.6
2012-09-01,-12.5,,1.0
2012-10-01,-0.6,,0.8
2012-11-01,-7.8,,-0.1
2012-12-01,-10.2,,0.1
2013-01-01,-3.6,,-1.3
2013-02-01,-8.7,,0.2
2013-03-01,-10.4,,0.4
2013-04-01,6.2,,0.4
2013-05-01,-3.0,,0.2
2013-06-01,-4.7,,0.1
2013-07-01,0.9,,-0.5
2013-08-01,-4.4,,0.3
2013-09-01,3.6,,-0.2
2013-10-01,1.1,,0.4
2013-11-01,-0.1,,0.2
2013-12-01,4.1,,0.1
2014-01-01,-0.3,,-1.3
2014-02-01,2.8,,0.0
2014-03-01,8.1,,0.2
2014-04-01,-2.1,,0.9
2014-05-01,0.6,,0.0
2014-06-01,2.8,,0.0
2014-07-01,1.1,,-0.9
2014-08-01,-2.4,,0.2
2014-09-01,3.6,,0.2
2014-10-01,0.9,,0.5
2014-11-01,-0.3,,-0.1
2014-12-01,3.1,,-0.6
2015-01-01,-2.3,,-1.6
2015-02-01,1.1,,0.2
2015-03-01,5.0,,0.6
2015-04-01,2.5,,0.9
2015-05-01,1.3,,0.5
2015-06-01,7.4,,0.3
2015-07-01,6.0,,-0.9
2015-08-01,5.0,,-0.3
2015-09-01,3.9,,-0.3
2015-10-01,-0.2,,0.6
2015-11-01,6.1,,0.4
2015-12-01,3.4,,-0.3
2016-01-01,3.1,,-1.9
2016-02-01,6.7,,-0.4
2016-03-01,-0.9,,0.6
2016-04-01,9.3,,0.7
2016-05-01,2.4,,0.5
2016-06-01,-1.0,,0.5
2016-07-01,-7.8,,-0.7
2016-08-01,5.8,,0.1
2016-09-01,0.8,,0.0
2016-10-01,-1.3,,1.1
2016-11-01,4.8,,0.4
2016-12-01,-0.1,,0.6
2017-01-01,6.9,,-0.5
2017-02-01,-1.4,,-0.4
2017-03-01,9.3,,0.0
2017-04-01,-10.9,,1.0
2017-05-01,6.1,,-0.1
2017-06-01,4.4,,0.0
2017-07-01,2.8,,-0.7
2017-08-01,2.6,,0.2
2017-09-01,0.2,,0.2
