fecha,pib_yoy,tasa_paro
2005-04-01,3.4,9.33
2005-07-01,3.5,8.42
2005-10-01,3.5,8.7
2006-01-01,3.5,9.07
2006-04-01,3.6,8.53
2006-07-01,3.8,8.15
2006-10-01,4.0,8.3
2007-01-01,4.0,8.47
2007-04-01,4.0,7.95
2007-07-01,3.8,8.03
2007-10-01,3.5,8.6
2008-01-01,2.7,9.6
2008-04-01,1.8,10.4
2008-07-01,0.9,11.3
2008-10-01,-0.7,13.91
2009-01-01,-2.9,17.4
2009-04-01,-4.1,17.92
2009-07-01,-4.0,17.9
2009-10-01,-3.1,18.8
2010-01-01,-1.3,20.05
2010-04-01,-0.2,20.09
2010-07-01,0.2,19.79
2010-10-01,0.6,20.3
2011-01-01,0.8,21.3
2011-04-01,0.7,20.9
2011-07-01,0.8,21.5
2011-10-01,0.3,22.9
2012-01-01,-0.4,24.4
2012-04-01,-1.0,24.63
2012-07-01,-1.6,25.0
2012-10-01,-1.8,26.02
2013-01-01,-2.0,27.16
2013-04-01,-1.7,26.26
2013-07-01,-1.2,25.98
2013-10-01,-0.1,26.03
2014-01-01,0.6,25.93
2014-04-01,1.2,24.47
2014-07-01,1.6,23.67
2014-10-01,2.0,23.7
2015-01-01,2.6,23.78
2015-04-01,3.1,22.37
2015-07-01,3.4,21.18
2015-10-01,3.5,20.9
2016-01-01,3.4,21.0
2016-04-01,3.2,20.0
2016-07-01,3.2,18.91
2016-10-01,3.0,18.63
2017-01-01,3.0,18.75
2017-04-01,3.1,17.22
2017-07-01,3.1,16.38
2017-10-01,3.1,16.55
2018-01-01,2.9,16.74
2018-04-01,2.7,15.3
2018-07-01,2.5,14.55
2018-10-01,2.4,14.45
2019-01-01,2.4,14.7
2019-04-01,2.3,14.02
2019-07-01,2.0,13.92
2019-10-01,1.8,13.78
2020-01-01,-4.1,14.41
2020-04-01,-22.1,15.33
2020-07-01,-8.7,16.26
2020-10-01,-9.1,16.13
2021-01-01,-4.3,15.98
2021-04-01,19.8,15.26
2021-07-01,2.7,14.57
2021-10-01,5.2,13.33
2022-01-01,6.4,13.65
2022-04-01,6.3,12.48
2022-07-01,3.8,12.67
2022-10-01,2.7,12.87
2023-01-01,3.8,13.26
2023-04-01,1.8,11.6
2023-07-01,1.8,11.84
2023-10-01,2.0,11.76
2024-01-01,2.4,12.29
2024-04-01,2.9,11.27
2024-07-01,3.4,11.21
2024-10-01,3.5,10.61
2025-01-01,2.8,11.36
2025-04-01,2.8,10.29
2025-07-01,2.8,10.45
