fecha,bono_es_10y,bono_de_10y,spread_es_de,eur_usd
2005-01-03,,,,1.3461
2005-01-04,,,,1.327
2005-01-05,,,,1.3259
2005-01-06,,,,1.3167
2005-01-07,,,,1.3053
2005-01-10,,,,1.3083
2005-01-11,,,,1.3112
2005-01-12,,,,1.3263
2005-01-13,,,,1.3217
2005-01-14,,,,1.3103
2005-01-17,,,,1.3062
2005-01-18,,,,1.3026
2005-01-19,,,,1.3
2005-01-20,,,,1.2966
2005-01-21,,,,1.3048
2005-01-24,,,,1.3054
2005-01-25,,,,1.2972
2005-01-26,,,,1.3083
2005-01-27,,,,1.3033
2005-01-28,,,,1.3042
2005-01-31,,,,1.3032
2005-02-01,,,,1.3039
2005-02-02,,,,1.3035
2005-02-03,,,,1.2972
2005-02-04,,,,1.2871
2005-02-07,,,,1.2758
2005-02-08,,,,1.2766
2005-02-09,,,,1.2802
2005-02-10,,,,1.2875
2005-02-11,,,,1.2863
2005-02-14,,,,1.2961
2005-02-15,,,,1.3018
2005-02-16,,,,1.303
2005-02-17,,,,1.3068
2005-02-18,,,,1.307
2005-02-21,,,,1.3059
2005-02-22,,,,1.3249
2005-02-23,,,,1.3211
2005-02-24,,,,1.3201
2005-02-25,,,,1.3242
2005-02-28,,,,1.3235
2005-03-01,,,,1.3184
2005-03-02,,,,1.313
2005-03-03,,,,1.3107
2005-03-04,,,,1.3238
2005-03-07,,,,1.3206
2005-03-08,,,,1.3342
2005-03-09,,,,1.3385
2005-03-10,,,,1.3426
2005-03-11,,,,1.3453
2005-03-14,,,,1.337
2005-03-15,,,,1.3305
2005-03-16,,,,1.342
2005-03-17,,,,1.3375
2005-03-18,,,,1.3316
2005-03-21,,,,1.3171
2005-03-22,,,,1.3085
2005-03-23,,,,1.2988
2005-03-24,,,,1.2939
2005-03-25,,,,1.2956
2005-03-28,,,,1.2887
2005-03-29,,,,1.292
2005-03-30,,,,1.2921
2005-03-31,,,,1.2961
2005-04-01,,,,1.2907
2005-04-04,,,,1.2847
2005-04-05,,,,1.2856
2005-04-06,,,,1.287
2005-04-07,,,,1.2854
2005-04-08,,,,1.2936
2005-04-11,,,,1.2975
2005-04-12,,,,1.2921
2005-04-13,,,,1.2916
2005-04-14,,,,1.2806
2005-04-15,,,,1.2916
2005-04-18,,,,1.3014
2005-04-19,,,,1.3056
2005-04-20,,,,1.3084
2005-04-21,,,,1.3052
2005-04-22,,,,1.3064
2005-04-25,,,,1.2999
2005-04-26,,,,1.2988
2005-04-27,,,,1.2926
2005-04-28,,,,1.2898
2005-04-29,,,,1.2871
2005-05-02,,,,1.2862
2005-05-03,,,,1.2867
2005-05-04,,,,1.2945
2005-05-05,,,,1.2956
2005-05-06,,,,1.2835
2005-05-09,,,,1.2866
2005-05-10,,,,1.2881
2005-05-11,,,,1.2802
2005-05-12,,,,1.2668
2005-05-13,,,,1.2616
2005-05-16,,,,1.2634
2005-05-17,,,,1.2602
2005-05-18,,,,1.2677
2005-05-19,,,,1.2641
2005-05-20,,,,1.2558
2005-05-23,,,,1.2577
2005-05-24,,,,1.2577
2005-05-25,,,,1.2602
2005-05-26,,,,1.2508
2005-05-27,,,,1.2571
2005-05-30,,,,1.2471
2005-05-31,,,,1.2309
2005-06-01,,,,1.2185
2005-06-02,,,,1.2272
2005-06-03,,,,1.2232
2005-06-06,,,,1.2255
2005-06-07,,,,1.2283
2005-06-08,,,,1.2237
2005-06-09,,,,1.2229
2005-06-10,,,,1.212
2005-06-13,,,,1.2112
2005-06-14,,,,1.2026
2005-06-15,,,,1.212
2005-06-16,,,,1.2108
2005-06-17,,,,1.2287
2005-06-20,,,,1.2146
2005-06-21,,,,1.2177
2005-06-22,,,,1.2124
2005-06-23,,,,1.2037
2005-06-24,,,,1.2095
2005-06-27,,,,1.2162
2005-06-28,,,,1.2059
2005-06-29,,,,1.2076
2005-06-30,,,,1.21
2005-07-01,,,,1.1955
2005-07-04,,,,1.1901
2005-07-05,,,,1.1912
2005-07-06,,,,1.1929
2005-07-07,,,,1.1951
2005-07-08,,,,1.197
2005-07-11,,,,1.2072
2005-07-12,,,,1.2239
2005-07-13,,,,1.2093
2005-07-14,,,,1.2082
2005-07-15,,,,1.2033
2005-07-18,,,,1.2053
2005-07-19,,,,1.2033
2005-07-20,,,,1.2142
2005-07-21,,,,1.2163
2005-07-22,,,,1.2066
2005-07-25,,,,1.2059
2005-07-26,,,,1.201
2005-07-27,,,,1.207
2005-07-28,,,,1.2131
2005-07-29,,,,1.213
2005-08-01,,,,1.2174
2005-08-02,,,,1.2198
2005-08-03,,,,1.234
2005-08-04,,,,1.2385
2005-08-05,,,,1.236
2005-08-08,,,,1.2347
2005-08-09,,,,1.2369
2005-08-10,,,,1.2384
2005-08-11,,,,1.2469
2005-08-12,,,,1.2436
2005-08-15,,,,1.2369
2005-08-16,,,,1.2362
2005-08-17,,,,1.2273
2005-08-18,,,,1.2175
2005-08-19,,,,1.2151
2005-08-22,,,,1.2223
2005-08-23,,,,1.223
2005-08-24,,,,1.2268
2005-08-25,,,,1.2297
2005-08-26,,,,1.2281
2005-08-29,,,,1.223
2005-08-30,,,,1.2217
2005-08-31,,,,1.2343
2005-09-01,,,,1.25
2005-09-02,,,,1.2523
2005-09-05,,,,1.2537
2005-09-06,,,,1.2459
2005-09-07,,,,1.2417
2005-09-08,,,,1.2401
2005-09-09,,,,1.2408
2005-09-12,,,,1.2277
2005-09-13,,,,1.2263
2005-09-14,,,,1.2285
2005-09-15,,,,1.2221
2005-09-16,,,,1.2235
2005-09-19,,,,1.2136
2005-09-20,,,,1.2115
