fecha,euribor_3m,euribor_6m,tipo_dfr,tipo_mlf,tipo_mro,ipc_yoy
2005-01-31,2.1454,2.192,,,,
2005-02-28,2.1384,2.1846,,,,
2005-03-31,2.1372,2.1918,,,,
2005-04-30,2.1372,2.1722,,,,
2005-05-31,2.1256,2.1441,,,,
2005-06-30,2.111,2.1069,,,,
2005-07-31,2.1194,2.1345,,,,
2005-08-31,2.1325,2.1595,,,,
2005-09-30,2.1391,2.1666,,,,
2005-10-31,2.1966,2.272,,,,
2005-11-30,2.3609,2.5002,,,,
2005-12-31,2.4729,2.6003,,,,
2006-01-31,2.5117,2.6507,,,,
2006-02-28,2.6004,2.7248,,,,
2006-03-31,2.7226,2.872,,,,
2006-04-30,2.7938,2.9561,,,,
2006-05-31,2.889,3.0582,,,,
2006-06-30,2.9857,3.158,,,,
2006-07-31,3.1022,3.2875,,,,
2006-08-31,3.2265,3.4096,,,,
2006-09-30,3.3354,3.5275,,,,
2006-10-31,3.502,3.6446,,,,
2006-11-30,3.5972,3.7281,,,,
2006-12-31,3.6842,3.7894,,,,
2007-01-31,3.7519,3.8897,,,,
2007-02-28,3.8182,3.9444,,,,
2007-03-31,3.8909,3.9963,,,,
2007-04-30,3.9753,4.0974,,,,
2007-05-31,4.0714,4.1966,,,,
2007-06-30,4.1478,4.283,,,,
2007-07-31,4.2162,4.3585,,,,
2007-08-31,4.5436,4.5938,,,,
2007-09-30,4.7417,4.7513,,,,
2007-10-31,4.6874,4.6634,,,,
2007-11-30,4.6385,4.6297,,,,
2007-12-31,4.8484,4.8194,,,,
2008-01-31,4.4815,4.5014,,,,
2008-02-29,4.3621,4.3565,,,,
2008-03-31,4.5964,4.593,,,,
2008-04-30,4.7835,4.7954,,,,
2008-05-31,4.8574,4.8975,,,,
2008-06-30,4.9405,5.0883,,,,
2008-07-31,4.961,5.1482,,,,
2008-08-31,4.9652,5.1602,,,,
2008-09-30,5.0192,5.219,,,,
2008-10-01,,,3.25,4.25,3.75,
2008-10-31,5.1131,5.1781,,,,
2008-11-01,,,2.75,3.75,3.25,
2008-11-30,4.2383,4.2948,,,,
2008-12-01,,,2.0,3.0,2.5,
2008-12-31,3.2926,3.3653,,,,
2009-01-01,,,1.0,3.0,2.0,
2009-01-31,2.4565,2.5389,,,,
2009-02-28,1.9431,2.034,,,,
2009-03-01,,,0.5,2.5,1.5,
